"filename", "language", "JSON", "JavaScript", "SQL", "CSS", "Elixir", "HEEx", "HTML", "Markdown", "XML", "Graphviz (DOT)", "comment", "blank", "total"
"/Users/nevendrean/code/elixir/live_map/test/live_map_mail/live_map_mail_test.exs", "Elixir", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 10, 55
"/Users/nevendrean/code/elixir/live_map/test/live_map_web/channels/event_channel_test.exs", "Elixir", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 6, 28
"/Users/nevendrean/code/elixir/live_map/test/live_map_web/controllers/page_controller_test.exs", "Elixir", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
"/Users/nevendrean/code/elixir/live_map/test/live_map_web/views/error_view_test.exs", "Elixir", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 4, 15
"/Users/nevendrean/code/elixir/live_map/test/live_map_web/views/layout_view_test.exs", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 2, 9
"/Users/nevendrean/code/elixir/live_map/test/live_map_web/views/page_view_test.exs", "Elixir", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/nevendrean/code/elixir/live_map/test/support/channel_case.ex", "Elixir", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 7, 36
"/Users/nevendrean/code/elixir/live_map/test/support/conn_case.ex", "Elixir", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 8, 39
"/Users/nevendrean/code/elixir/live_map/test/support/data_case.ex", "Elixir", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 11, 59
"/Users/nevendrean/code/elixir/live_map/test/support/fixtures/downwind_fixtures.ex", "Elixir", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/nevendrean/code/elixir/live_map/test/test_helper.exs", "Elixir", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"Total", "-", 218, 581, 61, 222, 2409, 179, 20, 135, 62, 11, 698, 706, 5302
