Date : 2022-10-10 13:41:09
Directory : /Users/nevendrean/code/elixir/live_map
Total : 99 files,  3898 codes, 698 comments, 706 blanks, all 5302 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/email_view.ex                       | Elixir         |          3 |          1 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/error_helpers.ex                    | Elixir         |         27 |         17 |          4 |         48 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/error_view.ex                       | Elixir         |          6 |          8 |          3 |         17 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/github_auth_view.ex                 | Elixir         |          3 |          1 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/google_auth_view.ex                 | Elixir         |          3 |          1 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/layout_view.ex                      | Elixir         |          5 |          2 |          2 |          9 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/page_view.ex                        | Elixir         |          4 |          0 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/welcome_view.ex                     | Elixir         |          4 |          0 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/mix.exs                                                    | Elixir         |         62 |         17 |          8 |         87 |
| /Users/nevendrean/code/elixir/live_map/mix.lock                                                   | Elixir         |         63 |          0 |          1 |         64 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/migrations/.formatter.exs                        | Elixir         |          4 |          0 |          1 |          5 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919184546_postgis_enum.exs       | Elixir         |         12 |          0 |          3 |         15 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919190000_create_users.exs       | Elixir         |         10 |          3 |          4 |         17 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919195327_create_events.exs      | Elixir         |         20 |          1 |          6 |         27 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919215903_event_participants.exs | Elixir         |         17 |          3 |          5 |         25 |
| /Users/nevendrean/code/elixir/live_map/priv/repo/seeds.exs                                        | Elixir         |        122 |         18 |         22 |        162 |
| /Users/nevendrean/code/elixir/live_map/priv/static/images/kitesurf.svg                            | XML            |         62 |          1 |          1 |         64 |
| /Users/nevendrean/code/elixir/live_map/read.json                                                  | JSON           |          0 |          0 |          1 |          1 |
| /Users/nevendrean/code/elixir/live_map/test.html                                                  | HTML           |         20 |          0 |          3 |         23 |
| /Users/nevendrean/code/elixir/live_map/test/date_picker/date_picker_test.exs                      | Elixir         |         12 |          0 |          4 |         16 |
| /Users/nevendrean/code/elixir/live_map/test/live_map/downwind_test.exs                            | Elixir         |          0 |         61 |         16 |         77 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_mail/live_map_mail_test.exs                  | Elixir         |          0 |         45 |         10 |         55 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_web/channels/event_channel_test.exs          | Elixir         |          0 |         22 |          6 |         28 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_web/controllers/page_controller_test.exs     | Elixir         |          0 |          7 |          2 |          9 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_web/views/error_view_test.exs                | Elixir         |         10 |          1 |          4 |         15 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_web/views/layout_view_test.exs               | Elixir         |          3 |          4 |          2 |          9 |
| /Users/nevendrean/code/elixir/live_map/test/live_map_web/views/page_view_test.exs                 | Elixir         |          3 |          0 |          1 |          4 |
| /Users/nevendrean/code/elixir/live_map/test/support/channel_case.ex                               | Elixir         |         27 |          2 |          7 |         36 |
| /Users/nevendrean/code/elixir/live_map/test/support/conn_case.ex                                  | Elixir         |         29 |          2 |          8 |         39 |
| /Users/nevendrean/code/elixir/live_map/test/support/data_case.ex                                  | Elixir         |         48 |          0 |         11 |         59 |
| /Users/nevendrean/code/elixir/live_map/test/support/fixtures/downwind_fixtures.ex                 | Elixir         |         21 |          0 |          3 |         24 |
| /Users/nevendrean/code/elixir/live_map/test/test_helper.exs                                       | Elixir         |          2 |          0 |          1 |          3 |
| Total                                                                                             |                |      3,898 |        698 |        706 |      5,302 |
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
